ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
234675_x_at	1.21e-26	5.25e-31	31.843621	59.999218	3.0013119		
220232_at	1.21e-26	8.12e-31	31.500834	59.591544	4.4807141	SCD5	stearoyl-CoA desaturase 5
209773_s_at	2.77e-26	2.78e-30	-30.550583	58.435892	-7.8965336	RRM2	ribonucleotide reductase regulatory subunit M2
1561754_at	1.02e-25	1.37e-29	29.359646	56.932134	5.9264724		
202954_at	9.60e-25	1.61e-28	-27.604483	54.595268	-6.0072914	UBE2C	ubiquitin conjugating enzyme E2 C
206093_x_at	9.61e-25	2.21e-28	27.383326	54.289993	7.2934269	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
229839_at	9.61e-25	2.25e-28	27.370586	54.272331	7.1270184	SCARA5	scavenger receptor class A member 5
211565_at	1.08e-24	2.89e-28	27.19911	54.033782	6.3790233	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3
223229_at	1.45e-24	4.37e-28	-26.917473	53.638647	-6.0622437	UBE2T	ubiquitin conjugating enzyme E2 T
218039_at	3.55e-24	1.20e-27	-26.238079	52.668	-5.9244424	NUSAP1	nucleolar and spindle associated protein 1
216333_x_at	3.55e-24	1.31e-27	26.184364	52.590183	7.4224146	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
230418_s_at	5.60e-24	2.25e-27	25.8267	52.067936	6.5212202	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16
223623_at	3.07e-23	1.34e-26	24.684427	50.350742	7.4154905	C2orf40	chromosome 2 open reading frame 40
236656_s_at	4.79e-23	2.24e-26	24.361261	49.850784	4.3431175	LOC100288911	uncharacterized LOC100288911
222608_s_at	5.09e-23	2.55e-26	-24.280925	49.725501	-5.4350257	ANLN	anillin actin binding protein
213451_x_at	6.14e-23	3.29e-26	24.125037	49.481246	7.0486758	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
204754_at	1.08e-22	6.14e-26	23.743223	48.876514	4.2562207	HLF	HLF, PAR bZIP transcription factor
219918_s_at	4.29e-22	2.59e-25	-22.883837	47.480693	-5.8150856	ASPM	abnormal spindle microtubule assembly
214710_s_at	4.42e-22	2.91e-25	-22.814152	47.365345	-5.7016536	CCNB1	cyclin B1
236359_at	4.42e-22	2.96e-25	22.80483	47.349889	4.9647571	SCN4B	sodium voltage-gated channel beta subunit 4
224159_x_at	4.60e-22	3.23e-25	22.753062	47.263952	3.7134844	TRIM4	tripartite motif containing 4
210052_s_at	5.47e-22	4.03e-25	-22.624412	47.049588	-5.7338249	TPX2	TPX2, microtubule nucleation factor
219121_s_at	5.73e-22	4.41e-25	-22.571609	46.961275	-6.1920323	ESRP1	epithelial splicing regulatory protein 1
210761_s_at	1.09e-21	8.72e-25	-22.178051	46.296904	-6.4085083	GRB7	growth factor receptor bound protein 7
202503_s_at	1.17e-21	9.79e-25	-22.111983	46.184301	-6.7560629	KIAA0101	KIAA0101
207828_s_at	1.22e-21	1.06e-24	-22.067293	46.107957	-5.3469305	CENPF	centromere protein F
1562527_at	1.24e-21	1.12e-24	22.034846	46.052438	5.4901954	LOC441666	zinc finger protein 91 pseudogene
201663_s_at	1.26e-21	1.18e-24	-22.005084	46.001446	-5.7423549	SMC4	structural maintenance of chromosomes 4
238701_x_at	1.29e-21	1.25e-24	21.972431	45.945428	2.9531312	COLCA1	colorectal cancer associated 1
216153_x_at	2.38e-21	2.39e-24	21.605919	45.311342	2.7405361	RECK	reversion inducing cysteine rich protein with kazal motifs
201890_at	2.59e-21	2.69e-24	-21.541152	45.198265	-6.3291032	RRM2	ribonucleotide reductase regulatory subunit M2
218009_s_at	3.28e-21	3.52e-24	-21.391416	44.93565	-5.9872235	PRC1	protein regulator of cytokinesis 1
206323_x_at	3.31e-21	3.65e-24	21.370102	44.898133	3.0646579	OPHN1	oligophrenin 1
235849_at	3.73e-21	4.25e-24	21.286231	44.750167	6.4470366	SCARA5	scavenger receptor class A member 5
216836_s_at	4.01e-21	4.70e-24	-21.230061	44.650776	-4.661383	ERBB2	erb-b2 receptor tyrosine kinase 2
224012_at	4.84e-21	5.84e-24	21.111249	44.439752	5.0076398	ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A1	ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A1
219787_s_at	4.92e-21	6.09e-24	-21.087459	44.39737	-4.9496444	ECT2	epithelial cell transforming 2
202543_s_at	5.26e-21	6.69e-24	-21.0363	44.306081	-4.5565077	GMFB	glia maturation factor beta
232538_at	5.58e-21	7.28e-24	20.990004	44.223296	5.5488198		
230417_at	7.40e-21	9.90e-24	20.822173	43.921805	3.4216989	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16
207165_at	7.65e-21	1.05e-23	-20.790346	43.864384	-4.335492	HMMR	hyaluronan mediated motility receptor
213900_at	1.98e-20	2.78e-23	20.267955	42.910504	5.3028387	FAM189A2	family with sequence similarity 189 member A2
209408_at	2.19e-20	3.15e-23	-20.200761	42.786227	-5.2822645	KIF2C	kinesin family member 2C
220725_x_at	2.24e-20	3.30e-23	20.176609	42.741468	3.066476	DNAH3	dynein axonemal heavy chain 3
211673_s_at	2.55e-20	3.88e-23	20.091247	42.582891	2.8905776	MOCS1	molybdenum cofactor synthesis 1
204962_s_at	2.55e-20	3.93e-23	-20.084809	42.570906	-5.04988	SLC35F6///CENPA	solute carrier family 35 member F6///centromere protein A
230959_at	2.59e-20	4.08e-23	20.064273	42.532658	3.6875776		
203358_s_at	2.72e-20	4.38e-23	-20.027618	42.464301	-5.0085454	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit
243689_s_at	3.55e-20	5.82e-23	19.877937	42.184016	6.0824009	FRG1BP	FSHD region gene 1 family member B, pseudogene
211571_s_at	3.98e-20	6.67e-23	-19.806989	42.050517	-7.0181617	VCAN	versican
221795_at	4.58e-20	7.81e-23	19.724461	41.894698	6.7798386	NTRK2	neurotrophic receptor tyrosine kinase 2
213715_s_at	4.98e-20	8.67e-23	19.67024	41.792016	2.863984	KANK3	KN motif and ankyrin repeat domains 3
214845_s_at	5.29e-20	9.39e-23	-19.629066	41.713876	-4.9195286	CALU	calumenin
201695_s_at	5.42e-20	9.80e-23	-19.607115	41.67216	-5.852442	PNP	purine nucleoside phosphorylase
208609_s_at	5.99e-20	1.11e-22	19.543716	41.551446	5.0875972	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
1568954_s_at	5.99e-20	1.12e-22	-19.536519	41.537722	-3.4093565	C16orf72	chromosome 16 open reading frame 72
202870_s_at	6.24e-20	1.19e-22	-19.506291	41.480028	-5.8560584	CDC20	cell division cycle 20
215646_s_at	7.18e-20	1.39e-22	-19.425313	41.325088	-6.6158785	VCAN	versican
