ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
1053_at	RFC2	replication factor C subunit 2	-2.151	17.197
117_at	HSPA6	heat shock protein family A (Hsp70) member 6	-1.544	4.568
1294_at	MIR5193///UBA7	microRNA 5193///ubiquitin like modifier activating enzyme 7	1.832	5.908
1438_at	EPHB3	EPH receptor B3	-1.364	2.273
1552256_a_at	SCARB1	scavenger receptor class B member 1	1.468	4.533
1552264_a_at	MAPK1	mitogen-activated protein kinase 1	-2.374	14.654
1552277_a_at	MSANTD3	Myb/SANT DNA binding domain containing 3	-2.567	13.578
1552316_a_at	GIMAP1	"GTPase, IMAP family member 1"	1.985	4.823
1552318_at	GIMAP1	"GTPase, IMAP family member 1"	1.458	4.423
1552330_at	CENPBD1	CENPB DNA-binding domain containing 1	-1.142	3.121
1552334_at	TRIOBP	TRIO and F-actin binding protein	-1.575	5.169
1552344_s_at	CNOT7	CCR4-NOT transcription complex subunit 7	-1.018	3.212
1552370_at	C4orf33	chromosome 4 open reading frame 33	-2.382	7.644
1552378_s_at	RDH10	retinol dehydrogenase 10 (all-trans)	-1.459	1.653
1552477_a_at	IRF6	interferon regulatory factor 6	-2.694	5.833
1552485_at	LACTB	lactamase beta	-1.981	6.677
1552486_s_at	LACTB	lactamase beta	-2.08	8.421
1552509_a_at	CD300LG	CD300 molecule like family member g	5.664	13.638
1552519_at	ACVR1C	activin A receptor type 1C	4.392	8.778
1552610_a_at	JAK1	Janus kinase 1	-4.173	13.776
1552617_a_at	RFWD2	ring finger and WD repeat domain 2	-3.286	13.502
1552618_at	STX6	syntaxin 6	-2.037	11.369
1552619_a_at	ANLN	anillin actin binding protein	-4.277	17.882
1552621_at	UPK3BL///POLR2J3///POLR2J2///POLR2J	uroplakin 3B-like///RNA polymerase II subunit J3///RNA polymerase II subunit J2///RNA polymerase II subunit J	-1.989	9.547
1552622_s_at	UPK3BL///POLR2J3///LOC441259///POLR2J2///POLR2J	"uroplakin 3B-like///RNA polymerase II subunit J3///PMS1 homolog 2, mismatch repair system component pseudogene///RNA polymerase II subunit J2///RNA polymerase II subunit J"	-2.67	11.944
1552625_a_at	TRNT1	tRNA nucleotidyl transferase 1	-2.517	14.148
1552628_a_at	HERPUD2	HERPUD family member 2	-1.002	4.57
1552639_at	KLHDC7B	kelch domain containing 7B	-1.043	1.653
1552656_s_at	UHMK1	U2AF homology motif (UHM) kinase 1	-1.072	1.936
1552658_a_at	NAV3	neuron navigator 3	1.086	4.563
1552670_a_at	PPP1R3B	protein phosphatase 1 regulatory subunit 3B	-1.136	2.612
1552685_a_at	GRHL1	grainyhead like transcription factor 1	-2.54	6.339
1552711_a_at	CYB5D1	cytochrome b5 domain containing 1	1.335	5.829
1552719_at	CASC4	cancer susceptibility candidate 4	1.613	6.977
1552733_at	KLHDC1	kelch domain containing 1	1.735	10.96
1552770_s_at	ZNF563	zinc finger protein 563	1.262	12.072
1552801_at	CAPN13	calpain 13	-1.015	1.871
1552848_a_at	PTCHD1	patched domain containing 1	1.891	2.377
1552921_a_at	FIGNL1	fidgetin like 1	-1.425	4.795
1552931_a_at	PDE8A	phosphodiesterase 8A	-1.237	3.583
1552977_a_at	CNPY3	canopy FGF signaling regulator 3	-2.541	10.572
1552978_a_at	SCAMP1	secretory carrier membrane protein 1	-2.106	6.144
1553015_a_at	RECQL4	RecQ like helicase 4	-1.177	3.042
1553043_a_at	CD300LF	CD300 molecule like family member f	-1.02	2.028
1553055_a_at	SLFN5	schlafen family member 5	-1.291	2.51
1553101_a_at	ALKBH5	"alkB homolog 5, RNA demethylase"	-1.133	5.043
1553102_a_at	CCDC69	coiled-coil domain containing 69	2.195	5.138
1553105_s_at	DSG2	desmoglein 2	-3.818	8.67
1553106_at	C5orf24	chromosome 5 open reading frame 24	-1.485	7.842
1553112_s_at	CDK8	cyclin dependent kinase 8	-2.138	7.024
1553113_s_at	CDK8	cyclin dependent kinase 8	-1.467	8.519
1553117_a_at	STK38	serine/threonine kinase 38	-3.231	14.576
1553132_a_at	TC2N	"tandem C2 domains, nuclear"	-2.318	7.152
1553145_at	TAPT1-AS1	TAPT1 antisense RNA 1 (head to head)	1.297	4.483
1553165_at	SYNRG	"synergin, gamma"	-1.193	2.497
1553185_at	RASEF	RAS and EF-hand domain containing	1.323	6.327
1553186_x_at	RASEF	RAS and EF-hand domain containing	1.354	6.193
1553227_s_at	BRWD1	bromodomain and WD repeat domain containing 1	-1.369	6.196
1553243_at	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5	3.619	13.996
1553275_s_at			-1.178	2.017
1553292_s_at	SGK494	uncharacterized serine/threonine-protein kinase SgK494	-1.919	3.901
1553434_at	CYP4Z2P	"cytochrome P450 family 4 subfamily Z member 2, pseudogene"	-4.419	5.684
1553436_at	MUC19	"mucin 19, oligomeric"	-2.696	1.738
1553510_s_at	CNOT9	CCR4-NOT transcription complex subunit 9	-1.127	3.718
1553530_a_at	ITGB1	integrin subunit beta 1	-2.843	10.044
1553535_a_at	RANGAP1	Ran GTPase activating protein 1	-3.335	18.833
1553542_at	CCDC125	coiled-coil domain containing 125	-1.092	2.41
1553551_s_at	ND2	MTND2	-1.42	7.514
1553575_at	ND6	"NADH dehydrogenase, subunit 6 (complex I)"	1.931	8.246
1553583_a_at	THRSP	thyroid hormone responsive	1.512	4.003
1553613_s_at	FOXC1	forkhead box C1	3.719	4.667
1553672_at	ENAH	enabled homolog (Drosophila)	-1.01	2.301
1553677_a_at	TIPRL	TOR signaling pathway regulator	-2.175	8.405
1553678_a_at	ITGB1	integrin subunit beta 1	-3.49	10.18
1553685_s_at	SP1	Sp1 transcription factor	-2.184	7.602
1553689_s_at	METTL6	methyltransferase like 6	-1.014	3.952
1553694_a_at	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	-3.103	7.802
1553709_a_at	PRPF38A	pre-mRNA processing factor 38A	-2.509	8.826
1553797_a_at	LINC01105	long intergenic non-protein coding RNA 1105	-1.243	1.901
1553858_at	ZBTB3	zinc finger and BTB domain containing 3	1.443	10.617
1553928_at	ELMOD2	ELMO domain containing 2	-2.667	8.255
1553954_at	ALG14	"ALG14, UDP-N-acetylglucosaminyltransferase subunit"	-1.152	3.931
1553960_at	SNX21	sorting nexin family member 21	2.42	8.688
1553961_s_at	SNX21	sorting nexin family member 21	1.792	11.439
1553962_s_at	RHOB	ras homolog family member B	-3.912	11.066
1553971_a_at	GATS	"GATS, stromal antigen 3 opposite strand"	1.041	4.537
1553976_a_at	DPCD	deleted in primary ciliary dyskinesia homolog (mouse)	-2.506	7.482
1554003_at	ARHGEF28	Rho guanine nucleotide exchange factor 28	2.569	12.932
1554006_a_at	LLGL2	"LLGL2, scribble cell polarity complex component"	-2.88	9.209
1554007_at			4.373	11.562
1554015_a_at	CHD2	chromodomain helicase DNA binding protein 2	-1.004	3.658
1554052_at	CNOT1	CCR4-NOT transcription complex subunit 1	-1.006	2.636
1554082_a_at	NOL9	nucleolar protein 9	-1.155	4.368
1554089_s_at	SBDSP1///SBDS	Shwachman-Bodian-Diamond syndrome pseudogene 1///SBDS ribosome assembly guanine nucleotide exchange factor	-1.762	4.981
1554093_a_at	SNAPC5	small nuclear RNA activating complex polypeptide 5	-1.025	4.767
1554105_at	TMEM185A	transmembrane protein 185A	-1.403	4.51
1554145_a_at	PPP1R21	protein phosphatase 1 regulatory subunit 21	-1.253	5.724
1554148_a_at	SLC33A1	solute carrier family 33 member 1	-2.754	11.064
1554152_a_at	OGDH	oxoglutarate dehydrogenase	-1.18	4.26
1554154_at	GDAP2	ganglioside induced differentiation associated protein 2	-1.72	7.669
1554159_a_at	ZMYND11	zinc finger MYND-type containing 11	-1.389	3.711
1554161_at	SLC25A27	solute carrier family 25 member 27	1.475	10.356
1554167_a_at	GOLGA7	golgin A7	-3.851	10.884
1554195_a_at	C5orf46	chromosome 5 open reading frame 46	-2.224	2.875
1554201_at	CABP4	calcium binding protein 4	1.207	11.04
1554240_a_at	ITGAL	integrin subunit alpha L	-1.3	2.496
1554241_at	COCH	cochlin	-2.267	9.53
1554249_a_at	ZNF638-IT1///ZNF638	ZNF638 intronic transcript 1///zinc finger protein 638	-1.84	10.716
1554250_s_at	STAG3L2///STAG3L3///TRIM73	stromal antigen 3-like 2 (pseudogene)///stromal antigen 3-like 3 (pseudogene)///tripartite motif containing 73	1.097	4.384
1554260_a_at	FRYL	FRY like transcription coactivator	-2.955	13.835
1554271_a_at	CENPL	centromere protein L	-2.657	11.222
1554287_at	TRIM4	tripartite motif containing 4	-1.094	4.05
1554327_a_at	CANT1	calcium activated nucleotidase 1	-1.172	2.248
1554333_at	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4	-1.627	4.025
1554334_a_at	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4	-2.393	8.445
1554351_a_at	TIPRL	TOR signaling pathway regulator	-2.19	13.585
1554365_a_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	-3.554	13.964
1554390_s_at	ACTR2	ARP2 actin related protein 2 homolog	-3.242	13.299
1554397_s_at	UEVLD	UEV and lactate/malate dehyrogenase domains	-3.032	7.699
1554408_a_at	TK1	thymidine kinase 1	-4.764	13.793
1554410_a_at	RCC1L	RCC1 like	-1.112	6.614
1554414_a_at	OSGIN2	oxidative stress induced growth inhibitor family member 2	-1.914	7.391
1554417_s_at	APH1A	"aph-1 homolog A, gamma-secretase subunit"	-2.487	8
1554423_a_at	FBXO7	F-box protein 7	-2.557	7.659
1554433_a_at	ZNF146	zinc finger protein 146	-4.352	14.968
1554438_at	KIAA1217	KIAA1217	-1.601	7.05
1554441_a_at	WAPL	WAPL cohesin release factor	-3.353	13.84
1554450_s_at	MIER3	MIER family member 3	-1.976	7.026
1554451_s_at	DNAJC14	DnaJ heat shock protein family (Hsp40) member C14	-1.854	7.087
1554452_a_at	HILPDA	hypoxia inducible lipid droplet associated	-2.752	7.603
1554456_a_at	LINS1	lines homolog 1	-2.311	9.446
1554462_a_at	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	-2.735	10.321
1554464_a_at	CRTAP	cartilage associated protein	-3.006	7.25
1554466_a_at	METTL26	methyltransferase like 26	-3.695	9.932
1554478_a_at	HEATR3	HEAT repeat containing 3	-1.329	5.664
1554482_a_at	SAR1B	secretion associated Ras related GTPase 1B	-3.509	16.833
1554485_s_at	TMEM37	transmembrane protein 37	1.784	3.293
1554489_a_at	CEP70	centrosomal protein 70	-2.055	6.583
1554496_at	RAD51B	RAD51 paralog B	1.258	8.487
1554510_s_at	GHITM	growth hormone inducible transmembrane protein	-2.531	10.77
1554513_s_at	CEP89	centrosomal protein 89	-1.76	8.004
1554547_at	FAM13C	family with sequence similarity 13 member C	1.83	3.723
