Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	4/28	6.413108912119444E-10	3.634095050201018E-8	0	0	554.6111111111111	11739.734447440174	CDC20;PLK1;TTK;BUB1
Mitotic Spindle Checkpoint Signaling (GO:0071174)	4/28	6.413108912119444E-10	3.634095050201018E-8	0	0	554.6111111111111	11739.734447440174	CDC20;PLK1;TTK;BUB1
Spindle Assembly Checkpoint Signaling (GO:0071173)	4/28	6.413108912119444E-10	3.634095050201018E-8	0	0	554.6111111111111	11739.734447440174	CDC20;PLK1;TTK;BUB1
Negative Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045841)	4/30	8.579625856084576E-10	3.646340988835945E-8	0	0	511.8974358974359	10686.606663992457	CDC20;PLK1;TTK;BUB1
Positive Regulation of Mitotic Nuclear Division (GO:0045840)	4/36	1.8414970168755972E-9	6.26108985737703E-8	0	0	415.7916666666667	8362.68764886976	CDC20;UBE2C;PLK1;NUSAP1
Positive Regulation of Metaphase/Anaphase Transition of Cell Cycle (GO:1902101)	3/13	2.5672603330014545E-8	7.273904276837454E-7	0	0	856.2857142857143	14966.025934716257	CDC20;UBE2C;PLK1
Positive Regulation of Mitotic Metaphase/Anaphase Transition (GO:0045842)	3/15	4.0821640684781646E-8	9.913827023446972E-7	0	0	713.5	12139.52716312624	CDC20;UBE2C;PLK1
Positive Regulation of Mitotic Sister Chromatid Separation (GO:1901970)	3/17	6.097651861537575E-8	1.2957510205767347E-6	0	0	611.5102040816327	10158.88264605809	CDC20;UBE2C;PLK1
Mitotic Sister Chromatid Segregation (GO:0000070)	4/128	3.2622962316083735E-7	6.16211510414915E-6	0	0	106.80645161290323	1595.2253104236563	TPX2;PLK1;KIF14;NUSAP1
Mitotic Nuclear Division (GO:0140014)	3/49	1.6383490128377575E-6	2.7851933218241878E-5	0	0	185.8136645962733	2475.376476226603	UBE2C;PLK1;NUSAP1
Regulation of Mitotic Metaphase/Anaphase Transition (GO:0030071)	3/52	1.9636916511661936E-6	3.0347961881659357E-5	0	0	174.41107871720118	2291.880934446314	CDC20;UBE2C;PLK1
Positive Regulation of Ubiquitin Protein Ligase Activity (GO:1904668)	2/5	2.2481312594056116E-6	3.184852617491283E-5	0	0	1665.5833333333333	21661.596201528788	CDC20;UBE2C
Regulation of Anaphase-Promoting Complex-Dependent Catabolic Process (GO:1905784)	2/6	3.3713141681840526E-6	4.182470457611218E-5	0	0	1249.125	15739.234728974254	CDC20;PLK1
